CowTagID,functional_group,sum_fg,total_pcover,lat,lon,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,HIX,VisibleHumidic_Like
V1,Stony Coral,0.4457831325301204,0.9638554216867469,-17.53975298,-149.900506,0.004280378,0.026891257,0.00885529,0.007638312,0.160393455,0.725286398,0.417208438,0.452348333,0.577048955,0.200384621
V1,Macroalgae+Turf,0.5180722891566265,0.9638554216867469,-17.53975298,-149.900506,0.004280378,0.026891257,0.00885529,0.007638312,0.160393455,0.725286398,0.417208438,0.452348333,0.577048955,0.200384621
V10,Stony Coral,0.33333333333333337,0.9411764705882354,-17.54030501,-149.899788,0.003695667,0.033435681,0.008280107,0.006097696,0.215487784,0.649602906,0.701847398,0.315690267,0.356933922,0.17194889
V10,Macroalgae+Turf,0.607843137254902,0.9411764705882354,-17.54030501,-149.899788,0.003695667,0.033435681,0.008280107,0.006097696,0.215487784,0.649602906,0.701847398,0.315690267,0.356933922,0.17194889
V11,Stony Coral,0.18674698795180725,0.8253012048192772,-17.54019303,-149.900068,0.004515392,0.028841074,0.011078583,0.005775206,0.184753293,1.135166729,0.654692722,0.765037913,0.272896916,0.239588283
V11,Macroalgae+Turf,0.6385542168674698,0.8253012048192772,-17.54019303,-149.900068,0.004515392,0.028841074,0.011078583,0.005775206,0.184753293,1.135166729,0.654692722,0.765037913,0.272896916,0.239588283
V12,Stony Coral,0.3379310344827586,0.9379310344827586,-17.54030996,-149.900112,0.003824094,0.028717391,0.006372548,0.005463868,0.235045177,0.802937817,0.652128878,0.650558674,0.288700223,0.26281331
V12,Macroalgae+Turf,0.6,0.9379310344827586,-17.54030996,-149.900112,0.003824094,0.028717391,0.006372548,0.005463868,0.235045177,0.802937817,0.652128878,0.650558674,0.288700223,0.26281331
V14,Stony Coral,0,0.96,-17.54039696,-149.899396,0.002980712,0.032040094,0.010346055,0.007153303,0.199712207,0.273557732,0.474113469,0.455800954,0.484310117,0.207280746
V14,Macroalgae+Turf,0.96,0.96,-17.54039696,-149.899396,0.002980712,0.032040094,0.010346055,0.007153303,0.199712207,0.273557732,0.474113469,0.455800954,0.484310117,0.207280746
